"","county","name","for_geocode","lon","lat","type"
"69","malheur","Ontario State Recreation Site","Ontario State Recreation Site, Malheur County, Oregon",-116.9751416,44.0505852,"notable feature"
"70","marion","Silver Falls State Park","Silver Falls State Park, Marion County, Oregon",-122.6552495,44.8770444,"notable feature"
"71","marion","Enchanted Forest","Enchanted Forest, Marion County, Oregon",-123.007636,44.831292,"notable feature"
"72","marion","Oregon State Capitol","Oregon State Capitol, Marion County, Oregon",-123.0350963,44.9428975,"notable feature"
"73","morrow","Umatilla National Forest","Umatilla National Forest, Morrow County, Oregon",-119.33174,45.081194,"notable feature"
"74","morrow","Umatilla National Wildlife Refuge","Umatilla National Wildlife Refuge, Morrow County, Oregon",-119.577781,45.9092582,"notable feature"
"75","morrow","Willow Creek Dam","Willow Creek Dam, Morrow County, Oregon",-119.5441884,45.3470727,"notable feature"
"76","multnomah","Multnomah Falls","Multnomah Falls, Multnomah County, Oregon",-122.1157756,45.5761597,"notable feature"
"77","multnomah","Mt Hood National Forest","Mt Hood National Forest, Multnomah County, Oregon",-121.954062,45.485373,"notable feature"
"78","multnomah","Mark O Hatfield Wilderness","Mark O Hatfield Wilderness, Multnomah County, Oregon",-121.960153,45.604172,"notable feature"
"79","oregon",NA,"NA, Oregon County, Oregon",-120.5542012,43.8041334,"notable feature"
"80","oregon",NA,"NA, Oregon County, Oregon",-120.5542012,43.8041334,"notable feature"
"81","oregon",NA,"NA, Oregon County, Oregon",-120.5542012,43.8041334,"notable feature"
"82","polk","Basket Slough National Wildlife Refuge","Basket Slough National Wildlife Refuge, Polk County, Oregon",-123.2618807,44.9655571,"notable feature"
"83","polk","Valley of the Giants","Valley of the Giants, Polk County, Oregon",-123.714001,44.938892,"notable feature"
"84","polk","Sarah Helmick State Recreation Site","Sarah Helmick State Recreation Site, Polk County, Oregon",-123.2370455,44.7816856,"notable feature"
"85","rural",NA,"NA, Rural County, Oregon",NA,NA,"notable feature"
"86","rural",NA,"NA, Rural County, Oregon",NA,NA,"notable feature"
"87","rural",NA,"NA, Rural County, Oregon",NA,NA,"notable feature"
"88","sherman","Deschutes River State Recreation Area","Deschutes River State Recreation Area, Sherman County, Oregon",-120.9086014,45.606369,"notable feature"
"89","sherman","Cottonwood Canyon State Park","Cottonwood Canyon State Park, Sherman County, Oregon",-120.4694223,45.4789512,"notable feature"
"90","sherman","John Day Dam","John Day Dam, Sherman County, Oregon",-120.730461,45.6989588,"notable feature"
"91","tillamook","Tillamook State Forest","Tillamook State Forest, Tillamook County, Oregon",-123.6459732,45.5001507,"notable feature"
"92","tillamook","Nehalem Bay State Park","Nehalem Bay State Park, Tillamook County, Oregon",-123.896339,45.70082,"notable feature"
"93","tillamook","Cape Meares National Wildlife Refuge","Cape Meares National Wildlife Refuge, Tillamook County, Oregon",-123.92,45.486949,"notable feature"
"94","umatilla","Umatilla National Forest","Umatilla National Forest, Umatilla County, Oregon",-118.6665916,45.1946191,"notable feature"
"95","umatilla","Bridge Creek Wildlife Area","Bridge Creek Wildlife Area, Umatilla County, Oregon",-118.9426992,45.0394578,"notable feature"
"96","umatilla","Hat Rock State Park","Hat Rock State Park, Umatilla County, Oregon",-119.170376,45.911846,"notable feature"
"97","union","Umatilla National Forest","Umatilla National Forest, Union County, Oregon",-118.6665916,45.1946191,"notable feature"
"98","union","Eagle Cap Mountain Peak","Eagle Cap Mountain Peak, Union County, Oregon",-117.3015694,45.1634868,"notable feature"
"99","union","Hilgard Junction State Park","Hilgard Junction State Park, Union County, Oregon",-118.2356378,45.3421419,"notable feature"
"100","urban",NA,"NA, Urban County, Oregon",-122.6067584,45.3573429,"notable feature"
"101","urban",NA,"NA, Urban County, Oregon",-122.6067584,45.3573429,"notable feature"
"102","urban",NA,"NA, Urban County, Oregon",-122.6067584,45.3573429,"notable feature"
"103","wallowa","Wallowa Lake State Park","Wallowa Lake State Park, Wallowa County, Oregon",-117.212776,45.2809586,"notable feature"
"104","wallowa","Zumwalt Prairie","Zumwalt Prairie, Wallowa County, Oregon",-116.9587091,45.555892,"notable feature"
"105","wallowa","Wallowa Whitman National Forest","Wallowa Whitman National Forest, Wallowa County, Oregon",-117.0012678,45.3332127,"notable feature"
"106","wasco","Mt Hood National Forest","Mt Hood National Forest, Wasco County, Oregon",-121.434747,45.420526,"notable feature"
"107","wasco","Deschutes River Recreation Site","Deschutes River Recreation Site, Wasco County, Oregon",-120.9086014,45.606369,"notable feature"
"108","wasco","Memaloose State Park","Memaloose State Park, Wasco County, Oregon",-121.3383419,45.6954002,"notable feature"
"109","washington","LL Stub Stewart State Park","LL Stub Stewart State Park, Washington County, Oregon",-123.1996039,45.739095,"notable feature"
"110","washington","Tualatin River National Wildlife Refuge","Tualatin River National Wildlife Refuge, Washington County, Oregon",-122.8319435,45.3821458,"notable feature"
"111","washington","Tualatin Hills Nature Park","Tualatin Hills Nature Park, Washington County, Oregon",-122.8395722,45.4982189,"notable feature"
"112","wheeler","Ochoco National Forest","Ochoco National Forest, Wheeler County, Oregon",-119.994371,44.457416,"notable feature"
"113","wheeler","Painted Hills","Painted Hills, Wheeler County, Oregon",-120.2730726,44.6615223,"notable feature"
"114","wheeler","Umatilla National Forest","Umatilla National Forest, Wheeler County, Oregon",-119.772718,44.959235,"notable feature"
"115","yamhill","Mt Hebo","Mt Hebo, Yamhill County, Oregon",-123.756503,45.2,"notable feature"
"116","yamhill","Pheasant Creek Falls","Pheasant Creek Falls, Yamhill County, Oregon",-123.6300157,45.2065003,"notable feature"
"117","yamhill","Bald Creek State Scenic Viewpoint","Bald Creek State Scenic Viewpoint, Yamhill County, Oregon",-123.0540891,45.3946438,"notable feature"
